Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c0_2502450_2504400,i thi- - it's just an issue we haven't dealt with before .,i thi- - it's just an issue we haven't dealt with before .,s,s
Bmr019-c0_2504400_2506950,how you time align things that are overlapping anyway .,how you time-align things that are overlapping anyway .,s^e.x,s^e.x
Bmr019-c5_2508580_2508970,so ==,so ==,fg,fg
Bmr019-c2_2508680_2509420,that's wonderful .,that's wonderful .,s^ba,s^ba
Bmr019-c4_2509220_2509480,well ==,well ==,%-,%-
Bmr019-c5_2509500_2510230,and - and we ==,and - and we ==,s.%-,s.%-
Bmr019-c0_2509620_2511490,i mean i- - i never thought about it before .,i mean i- - i never thought about it before .,s,s
Bmr019-c4_2511120_2511930,y- - yes .,y- - yes .,s^aap,s^aap
Bmr019-c5_2511240_2511420,in ==,in ==,%-,%-
Bmr019-c0_2511490_2511670,but ==,but ==,%-,%-
Bmr019-c4_2511930_2520390,i mean s- - when i came up with the original data - suggested data format based on the transcription graph there's capability of doing that sort of thing in there .,i mean s- - when i came up with the original data - suggested data format based on the transcription graph there's capability of doing that sort of thing in there .,s,s
Bmr019-c0_2520060_2520470,right .,right .,s^aa,s^aa
Bmr019-c2_2520690_2520980,uhhuh .,mm-hmm .,s^aa,s^aa
Bmr019-c0_2520730_2523390,but you can't get it directly from the transcription .,but you can't get it directly from the transcription .,s,s
Bmr019-c5_2520800_2521050,right .,right .,b.%,b.%
Bmr019-c2_2520980_2521480,yeah that's right .,yeah that's right .,s^na,s^na
Bmr019-c5_2521480_2522670,well this is - this is just ==,well this is - this is just ==,s.%-,s.%-
Bmr019-c0_2523390_2525930,yeah | this is like a poor man's ver- - formatting version .,yeah | this is like a poor man's ver- - formatting version .,s^bk|s,s^bk|s
Bmr019-c0_2525930_2527390,but it's you know - it's clean .,but it's you know - it's clean .,s,s
Bmr019-c0_2527390_2528480,it's just not fancy .,it's just not fancy .,s^e,s^e
Bmr019-c4_2528560_2528760,right .,right .,b,b
Bmr019-c5_2528790_2530180,well there's lots of little things .,well there's lots of little things .,s,s
Bmr019-c0_2529230_2529720,um ==,um ==,fh,fh
Bmr019-c5_2530180_2533480,it's like there're twelve different scripts which you run .,it's like there're twelve different scripts which you run .,s,s
Bmr019-c5_2533480_2535060,and then at the end you have what you want .,and then at the end you have what you want .,s,s
Bmr019-c5_2535060_2536040,but um ==,but um ==,fh,fh
Bmr019-c5_2536670_2540020,at the very last stage we throw away the actual time information .,at the very last stage we throw away the actual time information .,s,s
Bmr019-c5_2540020_2545640,all we care about is whether that there's a certain word was overlapped by someone else's word .,all we care about is whether that there's a certain word was overlapped by someone else's word .,s,s
Bmr019-c5_2546010_2551390,so you sort of - at that point you discretize things into just having overlap or no overlap .,so you sort of - at that point you discretize things into just having overlap or no overlap .,s,s
Bmr019-c5_2552050_2556610,because we figure that's about the level of analysis that we want to do for this paper .,because we figure that's about the level of analysis that we want to do for this paper .,s^df,s^df
Bmr019-c4_2555760_2556270,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2557330_2563640,but if you wanted to do a more fine-grained analysis and say you know how far into the word is the overlap you could do that .,but if you wanted to do a more fine-grained analysis and say you know how far into the word is the overlap you could do that .,s:qw,s:qw
Bmr019-c5_2563640_2565450,it's just - it'll just require more ==,it's just - it'll just require more ==,s.%--,s.%--
Bmr019-c0_2563700_2564170,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_2564740_2566850,just sort of huge .,just sort of huge .,s^ba,s^ba
Bmr019-c5_2566260_2567240,you know slightly different .,you know slightly different .,s,s
Bmr019-c2_2567750_2572020,what's interesting is it's exactly what um i- - in discussing with um sue about this .,what's interesting is it's exactly what um i- - in discussing with um sue about this .,s,s
Bmr019-c0_2568410_2568790,yeah .,yeah .,b,b
Bmr019-c2_2572420_2578290,um she um i- - i- - i- - indicated that that you know that's very important for overlap analysis .,um she um i- - i- - i- - indicated that that you know that's very important for overlap analysis .,s,s
Bmr019-c0_2577440_2578780,yeah | it's - it's nice to know .,yeah | it's - it's nice to know .,s^aa.x|s,s^aa.x|s
Bmr019-c5_2577500_2577660,right .,right .,b.x,b.x
Bmr019-c0_2578780_2583480,and also i think as a human like i don't always hear these in the actual order that they occur .,and also i think as a human like i don't always hear these in the actual order that they occur .,s.x,s.x
Bmr019-c0_2583480_2586160,so i can have two foreground speakers .,so i can have two foreground speakers .,s,s
Bmr019-c0_2586160_2590570,you know morgan an- - and um adam and jane could all be talking .,you know morgan an- - and um adam and jane could all be talking .,s^e,s^e
Bmr019-c0_2590570_2593790,and i could align each of them to be starting their utterance at the correct time .,and i could align each of them to be starting their utterance at the correct time .,s,s
Bmr019-c0_2593790_2595540,and then look where they are relative to each other .,and then look where they are relative to each other .,s,s
Bmr019-c0_2595540_2597020,and that's not really what i heard .,and that's not really what i heard .,s,s
Bmr019-c2_2597310_2598480,and that's another thing she said .,and that's another thing she said .,s,s
Bmr019-c0_2598470_2599780,because it's just hard to do .,cuz it's just hard to do .,s^df,s^df
Bmr019-c2_2598480_2600840,this is - this is bever's - bever's effect .,this is - this is bever's - bever's effect .,s,s
Bmr019-c2_2601140_2607200,when - where in psy- - ps- - psycholinguistics you have these experiments where people have perceptual biases a- - as to what they hear .,when - where in psy- - ps- - psycho-linguistics you have these experiments where people have perceptual biases a- - as to what they hear .,s,s
Bmr019-c0_2601340_2601960,y- - yeah .,y- - yeah .,s^aa,s^aa
Bmr019-c0_2602030_2602450,it's sort of ==,it's sort of ==,s.%-,s.%-
Bmr019-c2_2607370_2610030,that - that not the best ==,that - that not the best ==,s.%-,s.%-
Bmr019-c0_2607650_2611610,yeah | you sort of move things around until you get to a low information point .,yeah | you sort of move things around until you get to a low information point .,s^aa|s,s^aa|s
Bmr019-c0_2611610_2613260,and yo- - then you can bring in the other person .,and yo- - then you can bring in the other person .,s,s
Bmr019-c0_2613260_2617870,so it's actually not even possible i think for any person to listen to a mixed signal .,so it's actually not even possible i think for any person to listen to a mixed signal .,s,s
Bmr019-c0_2618060_2620950,even equalize and make sure that they have all the words in the right order .,even equalize and make sure that they have all the words in the right order .,s,s
Bmr019-c2_2621340_2621680,uhhuh .,mm-hmm .,b,b
Bmr019-c0_2621830_2624330,so i guess we'll try to write this eurospeech paper .,so i guess we'll try to write this eurospeech paper .,s,s
Bmr019-c2_2622350_2622820,superb .,superb .,s^ba,s^ba
Bmr019-c0_2624330_2625210,i mean we will write it .,i mean we will write it .,s,s
Bmr019-c0_2625210_2627710,whether they accept it late or not i don't know .,whether they accept it late or not i don't know .,s^no,s^no
Bmr019-c0_2628500_2637010,um and the good thing is that we have - it's sort of a beginning of what don can use to link the prosodic features from each file to each other .,um and the good thing is that we have - it's sort of a beginning of what don can use to link the prosodic features from each file to each other .,s,s
Bmr019-c5_2635960_2636280,yeah .,yeah .,b,b
Bmr019-c1_2637410_2639230,yeah | that's the good thing about these pape- ==,yeah | that's the good thing about these pape- ==,s^bk|s^ba.%-,s^bk|s^ba.%-
Bmr019-c5_2638060_2638670,plus mayb- ==,plus mayb- ==,s.%-,s.%-
Bmr019-c0_2638150_2638480,so ==,so ==,fh,fh
Bmr019-ca_2638150_2638520,huh ?,hmm ?,qw^br.%,qw^br.%
Bmr019-c0_2638540_2639900,i- - you know might as well .,i- - you know might as well .,s,s
Bmr019-c0_2639900_2643560,we- - i ju- - otherwise we won't get the work done on our deadline .,we- - i ju- - otherwise we won't get the work done on our deadline .,s^df,s^df
Bmr019-c5_2640760_2641310,i don't know m- ==,i don't know m- ==,s.%--,s.%--
Bmr019-c5_2641960_2644070,i mean u- - u- - jane likes to look at data .,i mean u- - u- - jane likes to look at data .,s^rt,s^rt
Bmr019-c1_2642390_2642750,yeah .,yeah .,b,b
Bmr019-c5_2644070_2648450,maybe you know you could - you could look at this format and see if you find anything interesting .,maybe you know you could - you could look at this format and see if you find anything interesting .,s^cs,s^cs
Bmr019-c5_2648700_2649100,i don't know .,i don't know .,s^bd^no,s^bd^no
Bmr019-c1_2649000_2649140,yeah .,yeah .,s^bk,s^bk
Bmr019-c2_2649480_2650430,well what i'm thinking is ==,well what i'm thinking is ==,s.%-,s.%-
Bmr019-c1_2649650_2655180,no it's - that's the good thing about these pape- - paper deadlines and uh you know class projects and - and things like that .,no it's - that's the good thing about these pape- - paper deadlines and uh you know class projects and - and things like that .,s^ba,s^ba
Bmr019-c0_2649920_2650310,yeah .,yeah .,b,b
Bmr019-c5_2649980_2650330,yeah .,yeah .,b,b
Bmr019-c2_2651130_2651390,yeah .,yeah .,b,b
Bmr019-c5_2653580_2653870,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c0_2653810_2654230,right .,right .,b.%,b.%
Bmr019-c2_2654330_2654720,well my ==,well my ==,s.%-,s.%-
Bmr019-c5_2654570_2663460,well th- - th- - the other thing that - that - that yo- - that you usually don't tell your graduate students is that these deadlines are actually not that um you know strictly enforced .,well th- - th- - the other thing that - that - that yo- - that you usually don't tell your graduate students is that these deadlines are actually not that um you know strictly enforced .,s,s
Bmr019-c1_2655180_2656620,because you - you really get g- ==,because you - you really get g- ==,s^df.%--,s^df.%--
Bmr019-c2_2656370_2656640,yeah .,yeah .,b.%,b.%
Bmr019-c0_2656450_2657500,forces you to do the work .,forces you to do the work .,s^2,s^2
Bmr019-c1_2657070_2657330,yeah .,yeah .,b.%,b.%
Bmr019-c0_2658230_2658670,exactly .,exactly .,s^aa,s^aa
Bmr019-c4_2661880_2662350,strict .,strict .,s^2,s^2
Bmr019-c5_2663460_2664790,because the ==,because the ==,s^df.%-,s^df.%-
Bmr019-c1_2663970_2665180,@@ oh now it's out in the public .,@@ oh now it's out in the public .,s,s
Bmr019-c1_2665310_2667060,this - this - this secret information .,this - this - this secret information .,s^e,s^e
Bmr019-c5_2665510_2665900,because ==,because ==,s^df.%-,s^df.%-
Bmr019-c2_2667150_2667600,i think we can ha- ==,i think we can ha- ==,s.%-,s.%-
Bmr019-c1_2667210_2667480,yeah .,yeah .,s^bk,s^bk
Bmr019-c5_2667270_2668890,bec- - b- - nah ==,bec- - b- - nah ==,s.%-,s.%-
Bmr019-c0_2667330_2667670,right .,right .,b,b
Bmr019-c4_2668080_2668580,no .,no .,s^ar,s^ar
Bmr019-c0_2668460_2668730,so ==,so ==,%-,%-
Bmr019-c1_2668770_2669050,no .,no .,s^ar,s^ar
Bmr019-c2_2669750_2670000,nah .,nah .,%,%
Bmr019-c5_2670430_2674680,i- - because these - the conference organizers actually have an interest in getting lots of submissions .,i- - because these - the conference organizers actually have an interest in getting lots of submissions .,s^df,s^df
Bmr019-c0_2671450_2671910,right .,right .,b,b
Bmr019-c5_2674680_2676220,i mean a - a monetary interest .,i mean a - a monetary interest .,s,s
Bmr019-c4_2674730_2675070,right .,right .,b,b
Bmr019-c1_2675620_2675920,yeah .,yeah .,b,b
Bmr019-c5_2676220_2678210,so um ==,so um ==,fh,fh
Bmr019-c1_2677890_2678940,th- - that's - that's true .,th- - that's - that's true .,s^na,s^na
Bmr019-c2_2678080_2678660,and good ones .,and good ones .,s,s
Bmr019-c2_2678660_2679130,good ones .,good ones .,s^r,s^r
Bmr019-c5_2679090_2679940,and good submission- ==,and good submission- ==,s.%-,s.%-
Bmr019-c2_2679130_2681050,which sometimes means a little extra time .,which sometimes means a little extra time .,s,s
Bmr019-c1_2679640_2679800,that's ==,that's ==,%-,%-
Bmr019-c5_2679940_2680350,right .,right .,b,b
Bmr019-c5_2680350_2680720,well ==,well ==,%-,%-
Bmr019-c1_2680670_2681060,that's true .,that's true .,s^aa,s^aa
Bmr019-c5_2681340_2682180,that's another issue .,that's another issue .,s,s
Bmr019-c5_2682180_2682360,but ==,but ==,fh,fh
Bmr019-c1_2682240_2685300,by th- - by the way this is totally unfair you may - you may feel .,by th- - by the way this is totally unfair you may - you may feel .,s,s
Bmr019-c1_2685300_2689410,but the - the uh - the morning meeting folks actually have an - an extra month or so .,but the - the uh - the morning meeting folks actually have an - an extra month or so .,s,s
Bmr019-c5_2685710_2686070,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c3_2689630_2689860,yep .,yep .,b,b
Bmr019-c4_2690790_2693520,yep | the aurora - there's a special aurora ==,yep | the aurora - there's a special aurora ==,fg|s.%-,fg|s.%-
Bmr019-c5_2691640_2691790,when ==,when ==,%-,%-
Bmr019-c0_2691720_2691930,uh ==,uh ==,%-,%-
Bmr019-c1_2693250_2694790,there's a special aurora session .,there's a special aurora session .,s,s
Bmr019-c1_2694790_2699650,and the aurora pe- - people involved in aurora have till ma- - uh early may or something to turn in their paper .,and the aurora pe- - people involved in aurora have till ma- - uh early may or something to turn in their paper .,s,s
Bmr019-c0_2694810_2695250,oh .,oh .,s^bk,s^bk
Bmr019-c5_2694840_2695490,huh .,mmm .,b,b
Bmr019-c0_2696030_2696420,oh .,oh .,b,b
Bmr019-c5_2699050_2699540,huh .,mmm .,b,b
Bmr019-c5_2700330_2701070,well then you can just ==,well then you can just ==,s.%-,s.%-
Bmr019-c0_2700650_2703640,oh | well maybe we'll submit to s- - actually ==,oh | well maybe we'll submit to s- - actually ==,s^bk|s.%-,s^bk|s.%-
Bmr019-c5_2701770_2705440,maybe you can submit the digits paper on e- - for the aurora session .,maybe you can submit the digits paper on Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh e- - for the aurora session .,s^cs,s^cs
